samples	Nb_proteins	GC-content
stba	3861	65.60
stbk	3961	65.50
stbl	4006	65.50
stbd	4006	65.50
stbj	4029	65.50
mtb	4070	65.50
stbe	4403	65.50
stbg	4382	65.50
stbh	4391	65.50
stbi	4452	65.50
ERR266106	4016	65.60
ERR266107	3908	65.50
ERR266108	4021	65.50
ERR266109	4028	65.50
ERR266110	4021	65.50
ERR266120	4002	65.50
ERR266121	3878	65.50
ERR266122	3878	65.50
ERR266123	3953	65.50
ERR266125	3989	65.50
ERR266126	3986	65.50
ERR313113	3999	65.50
ERR313114	4066	65.50
ERR313115	4043	65.50
ERR313116	3865	65.50
ERR313117	4038	65.50
